alt; T; H; rho; P; mu
298000; 64.90732479535836; 1899.5165293426871; 8.959684759814288e-69; 7.362107444383145e-64; 6.30436277389748e-06
299000; 64.58359816239417; 1890.042651128746; 2.404331807647271e-69; 1.975621863309179e-64; 6.282336073400293e-06
300000; 64.2614861227478; 1880.616024079524; 6.392645934191014e-70; 5.2527904142900686e-65; 6.26038633159857e-06
301000; 63.94098062360145; 1871.2364125288525; 1.6839359801086682e-70; 1.3836778801221595e-65; 6.238513279607695e-06
302000; 63.62207365230093; 1861.9035819859544; 4.39443574425763e-71; 3.610875714262637e-66; 6.21671664948251e-06
303000; 63.30475723615538; 1852.61729912958; 1.136022827344242e-71; 9.334616494200838e-67; 6.194996174214021e-06
304000; 62.98902344223785; 1843.3773318021742; 2.909048859359969e-72; 2.3903441736729407e-67; 6.173351587726136e-06
305000; 62.67486437718708; 1834.1834490040733; 7.378506244862407e-73; 6.062864621908304e-68; 6.151782624872401e-06
306000; 62.362272187010035; 1825.0354208877277; 1.8535856349511316e-73; 1.5230777608472731e-68; 6.1302890214327486e-06
307000; 62.05123905688572; 1815.9330187519586; 4.611654528758528e-74; 3.789362800951954e-69; 6.108870514110271e-06
308000; 61.74175721096965; 1806.8760150362377; 1.1362496148876002e-74; 9.336479990859491e-70; 6.087526840527983e-06
309000; 61.43381891219959; 1797.8641833150014; 2.772275632138883e-75; 2.2779586130968634e-70; 6.066257739225617e-06
310000; 61.127416462102005; 1788.8972982919863; 6.697571790516911e-76; 5.503345760490477e-71; 6.045062949656417e-06
311000; 60.8225422005997; 1779.9751357946006; 1.602098180653408e-76; 1.316432358794912e-71; 6.023942212183945e-06
312000; 60.519188505820246; 1771.097472768317; 3.794232652102748e-77; 3.117693222763145e-72; 6.002895268078903e-06
313000; 60.21734779390549; 1762.2640872710972; 8.89598409851018e-78; 7.309765076836629e-73; 5.9819218595159625e-06
314000; 59.91701251882189; 1753.474758467844; 2.064767758347918e-78; 1.6966045672538355e-73; 5.961021729570605e-06
315000; 59.61817517217196; 1744.7292666248793; 4.7438110489567716e-79; 3.897954847129639e-74; 5.9401946222159795e-06
316000; 59.320828283006435; 1736.0273931044514; 1.0787830924953855e-79; 8.86428177892675e-75; 5.919440282319759e-06
317000; 59.024964417637634; 1727.3689203592699; 2.4280794866956845e-80; 1.995135157514942e-75; 5.898758455641023e-06
318000; 58.73057617945347; 1718.7536319270637; 5.408601157578764e-81; 4.4442080177311124e-76; 5.878148888827131e-06
319000; 58.4376562087327; 1710.1813124251748; 1.192261156139475e-81; 9.796722729165777e-77; 5.857611329410637e-06
320000; 58.14619718246076; 1701.6517475451685; 2.600717204386713e-82; 2.136990307630824e-77; 5.837145525806177e-06
321000; 57.85619181414684; 1693.1647240474783; 5.613334244298183e-83; 4.612435697862105e-78; 5.816751227307404e-06
322000; 57.56763285364161; 1684.7200297560748; 1.1987407580086878e-83; 9.849965143867608e-79; 5.796428184083904e-06
323000; 57.28051308695606; 1676.317453553162; 2.5326584062029408e-84; 2.0810668908816274e-79; 5.776176147178146e-06
324000; 56.99482533608103; 1667.9567853738956; 5.293527102766289e-85; 4.349652508435734e-80; 5.755994868502423e-06
325000; 56.710562458807885; 1659.6378162011365; 1.094462431831839e-85; 8.993117763614124e-81; 5.735884100835819e-06
326000; 56.427717348549905; 1651.3603380602226; 2.2382758354852444e-86; 1.8391748853617456e-81; 5.715843597821179e-06
327000; 56.14628293416457; 1643.1241440137678; 4.527443445700595e-87; 3.720167169844367e-82; 5.69587311396209e-06
328000; 55.86625217977688; 1634.9290281564931; 9.057088439737757e-88; 7.442143335856824e-83; 5.675972404619875e-06
329000; 55.58761808460338; 1626.774785610075; 1.7918003172756052e-88; 1.472309217153332e-83; 5.656141226010595e-06
330000; 55.3103736827772; 1618.6612125180252; 3.505299479708604e-89; 2.8802789479939225e-84; 5.6363793352020665e-06
331000; 55.03451204317382; 1610.5881060405932; 6.780536689147567e-90; 5.571517410967597e-85; 5.6166864901108765e-06
332000; 54.76002626923792; 1602.5552643496972; 1.296806412332596e-90; 1.0655763453842202e-85; 5.597062449499429e-06
333000; 54.486909498810824; 1594.5624866238766; 2.452036267716421e-91; 2.0148202692821865e-86; 5.577506972972981e-06
334000; 54.215154903959075; 1586.6095730432717; 4.583398549644307e-92; 3.7661450695516077e-87; 5.5580198209767e-06
335000; 53.944755690803625; 1578.696324784629; 8.468870444689233e-93; 6.958808911001833e-88; 5.538600754792728e-06
336000; 53.67570509935008; 1570.82254401633; 1.5467083615010259e-93; 1.2709189494667425e-88; 5.519249536537266e-06
337000; 53.407996403319615; 1562.9880338934447; 2.7919279451013333e-94; 2.2941067749394686e-89; 5.499965929157644e-06
338000; 53.14162290998092; 1555.1925985528128; 4.980585044235267e-95; 4.0925103075063815e-90; 5.4807496964294344e-06
339000; 52.876577959982754; 1547.4360431081438; 8.78019685607296e-96; 7.214623546485587e-91; 5.461600602953542e-06
340000; 52.612854927187584; 1539.7181736451487; 1.5294773234769474e-96; 1.256760331534057e-91; 5.442518414153336e-06
341000; 52.35044721850584; 1532.0387972166882; 2.63247154808639e-97; 2.163082619627272e-92; 5.423502896271762e-06
342000; 52.08934827373116; 1524.3977218379518; 4.47644178542994e-98; 3.6782594785784223e-93; 5.404553816368491e-06
343000; 51.829551565376306; 1516.7947564816575; 7.519991718523047e-99; 6.179122200922799e-94; 5.385670942317054e-06
344000; 51.571050598510055; 1509.229711073275; 1.2479101050470387e-99; 1.025398607269547e-94; 5.366854042802011e-06
345000; 51.313838910594754; 1501.7023964862751; 2.0454878559953825e-100; 1.6807624124859348e-95; 5.348102887316105e-06
346000; 51.05791007132481; 1494.2126245374009; 3.311495090664353e-101; 2.721031298820339e-96; 5.329417246157448e-06
347000; 50.80325768246592; 1486.7602079819635; 5.2945696525082275e-102; 4.3505091639344516e-97; 5.3107968904267e-06
348000; 50.5498753776951; 1479.3449605091616; 8.359534279914615e-103; 6.868968183989001e-98; 5.292241592024275e-06
349000; 50.29775682244153; 1471.9666967374217; 1.3032978633051595e-103; 1.0709103231759732e-98; 5.273751123647531e-06
350000; 50.0468957137282; 1464.625232209765; 2.0062293184717888e-104; 1.648503959303031e-99; 5.2553252587880035e-06
351000; 49.79728578001433; 1457.3203833891966; 3.0490015545613687e-105; 2.5053422798367857e-100; 5.2369637717286135e-06
352000; 49.548920781038554; 1450.0519676541146; 4.574457355930305e-106; 3.758798156064342e-101; 5.218666437540916e-06
353000; 49.301794507663; 1442.819803293748; 6.774712226795829e-107; 5.566731492847846e-102; 5.20043303208234e-06
354000; 49.055900781717924; 1435.6237095036104; 9.90320349631916e-108; 8.137389890155431e-103; 5.182263331993439e-06
355000; 48.81123345584739; 1428.4635063809824; 1.4287563406336526e-108; 1.1739986365108073e-103; 5.1641571146951605e-06
356000; 48.56778641335551; 1421.3390149204135; 2.0342394418488325e-109; 1.6715196728420973e-104; 5.146114158386115e-06
357000; 48.32555356805354; 1414.2500570092454; 2.858057745607979e-110; 2.3484451484042552e-105; 5.128134242039864e-06
358000; 48.084528864107725; 1407.1964554231615; 3.962126455681922e-111; 3.255650333345868e-106; 5.110217145402206e-06
359000; 47.84470627588792; 1400.178033821755; 5.4192255110458e-112; 4.452937971278389e-107; 5.092362648988484e-06
360000; 47.606079807816926; 1393.1946167441195; 7.312411172306729e-113; 6.00855478414686e-108; 5.074570534080892e-06
361000; 47.36864349422062; 1386.2460296044655; 9.733323933575246e-114; 7.997801095789028e-109; 5.056840582725803e-06
362000; 47.13239139917877; 1379.3320986877513; 1.2779134018524114e-114; 1.0500520968384644e-109; 5.039172577731088e-06
363000; 46.89731761637673; 1372.4526511453453; 1.6547927063486744e-115; 1.3597310652002253e-110; 5.021566302663466e-06
364000; 46.66341626895766; 1365.6075149906994; 2.1132443708860476e-116; 1.7364374452638023e-111; 5.004021541845848e-06
365000; 46.43068150937572; 1358.7965190950542; 2.6612249509860314e-117; 2.186709080514405e-112; 4.986538080354694e-06
366000; 46.19910751924976; 1352.0194931831563; 3.304461967332892e-118; 2.7152522328125654e-113; 4.969115704017381e-06
367000; 45.96868850921799; 1345.2762678290064; 4.0454660753104937e-119; 3.324129889326617e-114; 4.951754199409583e-06
368000; 45.73941871879316; 1338.5666744516184; 4.8825432571728355e-120; 4.0119500880631345e-115; 4.93445335385265e-06
369000; 45.511292416218566; 1331.890545310809; 5.8089043552376685e-121; 4.7731342278041643e-116; 4.917212955411009e-06
370000; 45.28430389832475; 1325.2477135030015; 6.811983151998404e-122; 5.597356739522107e-117; 4.900032792889562e-06
371000; 45.05844749038697; 1318.6380129570555; 7.873077066192041e-123; 6.469249848966344e-118; 4.882912655831104e-06
372000; 44.83371754598323; 1312.0612784301118; 8.967413234651509e-124; 7.368457875638051e-119; 4.865852334513741e-06
373000; 44.61010844685324; 1305.5173455034662; 1.0064715692195735e-124; 8.270103280358039e-120; 4.848851619948326e-06
374000; 44.38761460275785; 1299.0060505784531; 1.1130307139033786e-125; 9.145691979485444e-121; 4.83191030387589e-06
375000; 44.1662304513394; 1292.5272308723618; 1.2126724553243843e-126; 9.964440881876617e-122; 4.8150281787651e-06
376000; 43.94595045798256; 1286.0807244143612; 1.3015767341515842e-127; 1.0694960839372096e-122; 4.798205037809714e-06
377000; 43.72676911567602; 1279.6663700414542; 1.3760837489397266e-128; 1.1307179531139905e-123; 4.781440674926044e-06
378000; 43.50868094487481; 1273.2840073944478; 1.4329381915959129e-129; 1.177434832864349e-124; 4.764734884750433e-06
379000; 43.291680493363295; 1266.933476913943; 1.469521622181116e-130; 1.207495170239208e-125; 4.748087462636745e-06
380000; 43.075762336118906; 1260.6146198363476; 1.4840502645646545e-131; 1.2194332494368565e-126; 4.731498204653852e-06
381000; 42.860921075176435; 1254.3272781899047; 1.475717653008119e-132; 1.2125864034577802e-127; 4.714966907583132e-06
382000; 42.6471513394932; 1248.0712947907466; 1.4447664102191943e-133; 1.187153993606569e-128; 4.698493368915993e-06
383000; 42.434447784814644; 1241.8465132389617; 1.3924804801579042e-134; 1.1441910272456073e-129; 4.682077386851378e-06
384000; 42.22280509354084; 1235.6527779146875; 1.3210974965653942e-135; 1.0855361516560345e-130; 4.665718760293303e-06
385000; 42.01221797459349; 1229.489933974218; 1.233649525161543e-136; 1.0136807930661816e-131; 4.6494172888483864e-06
386000; 41.802681163283644; 1223.3578273461342; 1.133747999397896e-137; 9.315924399325357e-133; 4.6331727728234014e-06
387000; 41.59418942118009; 1217.25630472745; 1.0253342393955841e-138; 8.425096461755004e-134; 4.616985013222821e-06
388000; 41.386737535978455; 1211.1852135797837; 9.124197752836875e-140; 7.497286567655607e-135; 4.600853811746392e-06
389000; 41.18032032137075; 1205.1444021255386; 7.988404922524826e-141; 6.5640139051148945e-136; 4.584778970786687e-06
390000; 40.974932616915915; 1199.1337193441152; 6.880455447629902e-142; 5.653619924100166e-137; 4.568760293426711e-06
391000; 40.7705692879106; 1193.1530149681298; 5.82936640792474e-143; 4.7899477468568114e-138; 4.552797583437461e-06
392000; 40.56722522526096; 1187.2021394796627; 4.857665628632943e-144; 3.991508322623617e-139; 4.536890645275543e-06
